time_s,reference_time_s,estimate_x,estimate_y,estimate_z,estimate_vx,estimate_vy,estimate_vz,estimate_qw,estimate_qx,estimate_qy,estimate_qz,estimate_p,estimate_q,estimate_r,sigma_x,sigma_y,sigma_z,sigma_vx,sigma_vy,sigma_vz,sigma_qw,sigma_qx,sigma_qy,sigma_qz,sigma_p,sigma_q,sigma_r,truth_x,truth_y,truth_z,truth_vx,truth_vy,truth_vz,truth_qw,truth_qx,truth_qy,truth_qz,truth_p,truth_q,truth_r,reference_x,reference_y,reference_z,reference_vx,reference_vy,reference_vz,reference_qw,reference_qx,reference_qy,reference_qz,reference_p,reference_q,reference_r,thrust_0_n,thrust_1_n,thrust_2_n,thrust_3_n,solver_time_ms,solver_cost,solver_iterations,solver_success,solver_status
0.01,nan,-0.0019419718421592072,0.009624586581561867,-0.06706556700649967,-0.0018209056170679736,-0.001528012420987071,0.0889708746230548,0.9999999973798227,-3.947985701937374e-05,-5.530738453290481e-05,2.4955735785253096e-05,-0.008773301582848435,-0.012290529928404435,0.005545719077920344,0.3162405731278799,0.31624057312893156,0.31624057313186177,0.31631900343873054,0.3163190654568326,0.31631918377007917,0.0007115492979746234,0.10000253113998424,0.10000253106497344,0.10000253118677624,0.0014230249470757708,0.0014230249470757708,0.0014230249470757708,0.0,0.0,-0.03446045000000001,0.0,0.0,-3.82893888888889,1.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,False,not_started
0.02,nan,-0.0019639885775968127,0.009613430011073584,-0.06568103448400363,-0.00258244147045312,-0.000703301676669379,0.18793562987615217,0.9999999941954524,6.427201041799496e-05,4.9625174920499465e-05,7.082051965870415e-05,0.020751404721813874,0.02098563206316512,0.00917263777166832,0.31628484941747514,0.31628484945421753,0.31628484946311175,0.31642015635387877,0.3164205466174432,0.316420426882401,0.0007500773938391636,0.1000053434005847,0.1000053434839958,0.10000534335635342,0.0015,0.0015,0.0015,0.0,0.0,-0.03293990000000001,0.0,0.0,0.15205500000000025,1.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,False,not_started
0.030000000000000002,nan,-0.0019828010847135,0.009605348704474404,-0.0633134406113202,-0.0011800599528842533,-0.0009129596431667736,0.28558314466053136,0.9999999463944791,0.00023823505508477317,-0.00020290068207102447,9.636602521884903e-05,0.03478878065032123,-0.050507308680306694,0.0051140746597505855,0.3163607589244925,0.3163607590326305,0.31636075902994304,0.31652121751952383,0.31652125285089844,0.3165212300205976,0.0007507144764698866,0.10000815307938171,0.1000081538587686,0.1000081554529232,0.0015000000000000002,0.0015000000000000002,0.0015000000000000002,0.0,0.0,-0.030438350000000003,0.0,0.0,0.25015500000000046,1.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,False,not_started
0.04,nan,-0.002005870508344781,0.00959590055997808,-0.060451743837527425,-0.0034338247733720325,-0.0009766692560978572,0.2867562100980244,0.9999999348330258,0.0002871979259595886,-0.0001565813159293896,0.00015275335387164015,0.009795755166848913,0.009265615314562799,0.01127327149305011,0.31646831160470695,0.31646831185228663,0.31646829934333165,0.31720192954191695,0.3172026128730535,0.3166229774058306,0.0007508685315666662,0.1000109640239401,0.10001096692234891,0.10001096698155829,0.0014999999999999998,0.0014999999999999998,0.0014999999999999998,1.1891900033786716e-21,2.9401329541577218e-21,-0.029828318072340244,1.2399623832728612e-19,2.90942543241414e-19,0.06100319276597584,1.0,2.4985919138614663e-20,4.115460069956719e-20,1.1102230246251565e-16,1.7368372870521905e-17,-8.591824220558241e-20,1.2041552200080856e-20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,False,not_started
0.05,0.05,-0.0020474136946277443,0.009585470478879162,-0.05759438972206286,-0.0048748124832206545,-0.0011093469636856684,0.2847146129948901,0.9999999215503311,0.0003565546704649445,-6.962100974730956e-05,0.00015786390911913797,0.013874165585257475,0.017390234447976813,0.0010149444369989317,0.316607687171024,0.31660768785189736,0.31660745861729034,0.3191397489518305,0.31914116116874225,0.3167248014290583,0.0007510454961434768,0.10001377394318108,0.10001378005789352,0.10001377905411331,0.0015000000000000002,0.0015000000000000002,0.0015000000000000002,4.917948500629439e-22,3.42011644088258e-21,-0.029838317591650253,-6.97465054607508e-20,4.8016468560349645e-20,-0.000999951931000831,1.0,3.1418334172515693e-20,6.199804862803066e-20,1.1102230246251565e-16,8.285262345038038e-18,2.4570266341935707e-18,-3.0452499984938373e-19,0.0,0.0,-0.03501935642900001,0.0,0.0,-0.0011555379000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,-1,False,not_started
0.060000000000000005,0.05,0.0005856094156359791,-0.027503914076157814,-0.04763128691366342,-0.004333288763115461,-0.004314326582094968,0.28556006208312734,0.9999998907956379,0.00036050824832565756,5.578526561066801e-07,0.00029739234028133436,0.003625713301047932,0.01421562195864459,0.027727366467784367,0.02022495340100564,0.020224955267185204,0.020218996479156297,0.32184575151973965,0.3218466007657138,0.31644821522232786,0.0007514550467216585,0.10001651366204574,0.10001651995765964,0.10001658765060809,0.0015000000000000002,0.0015000000000000002,0.0015000000000000002,6.09485259996936e-22,4.565706917464098e-21,-0.02984831711096026,1.175477006748575e-20,1.1457443111662686e-19,-0.000999951931000831,1.0,4.8548247211854227e-20,7.133847969202168e-20,1.1102230246251565e-16,-3.0629082706127385e-18,5.84269853525244e-18,-1.5869612371273224e-19,0.0,0.0,-0.03501935642900001,0.0,0.0,-0.0011555379000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,-1,False,not_started
0.07,0.05,0.0005416042915960055,-0.02754038433042774,-0.04477566564974808,-0.0044677360448792626,-0.0029797242718897408,0.28556419069993993,0.9999999082982922,0.00032463444697140804,-6.312164714246555e-05,0.0002720873771862717,-0.007178545506583747,-0.012735589419781729,-0.00505640572795947,0.020990705484118324,0.02099071234683989,0.020957741627844834,0.32609386627270476,0.32609507872355065,0.31654909043526575,0.0007512220989221046,0.10001932688737952,0.10001933175418251,0.10001940036454063,0.0015000000000000002,0.0015000000000000002,0.0015000000000000002,-4.602153201565639e-22,6.139400927559917e-21,-0.02985831663027027,-1.0699355433013255e-19,1.5738627087611623e-19,-0.000999951931000831,1.0,7.320262511443451e-20,1.0099693580714789e-19,1.1102230246251565e-16,-1.746020069519667e-18,9.438016140740428e-18,6.363864554990459e-20,0.0,0.0,-0.03501935642900001,0.0,0.0,-0.0011555379000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,-1,False,not_started
0.08,0.05,0.0004939608742861166,-0.02756712036807025,-0.04192391079561585,-0.005060947417098519,-0.002367483256611962,0.2847867801265059,0.9999999194534064,0.0003423172302161189,-1.681799965621908e-05,0.00020887615853522324,0.0035382773401340644,0.009255662458486172,-0.012645472803803915,0.022224214443063335,0.022224230585480054,0.022128721784162596,0.33149756235170613,0.33149916851629246,0.31665046505208394,0.0007510736021102914,0.10002213821385961,0.10002214385617432,0.1000222137999366,0.0014999999999999996,0.0014999999999999996,0.0014999999999999996,-5.702982934491835e-22,6.752691302349524e-21,-0.029868316149580278,-1.0996747487759444e-20,6.132279083280515e-20,-0.000999951931000831,1.0,8.379819125895995e-20,1.0651769174996825e-19,1.1102230246251565e-16,-1.746020069519667e-18,9.438016140740428e-18,6.363864554990459e-20,0.0,0.0,-0.03501935642900001,0.0,0.0,-0.0011555379000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,-1,False,not_started
0.09000000000000001,0.05,0.0004424654204575157,-0.02759665433790253,-0.039076324426102226,-0.00523814334862165,-0.0035393107098447164,0.28473049377621973,0.9999999019653291,0.00034600681408286665,-0.0002008196882872672,0.00018978954082633564,0.0007301670107822946,-0.036801796319679406,-0.0038047375894659204,0.023875146615461265,0.023875175504643808,0.023668140523496157,0.3379240771281689,0.33792560625282264,0.3167517923114393,0.0007513065699347784,0.10002494992604433,0.10002495369128707,0.10002502601454963,0.0015000000000000007,0.0015000000000000007,0.0015000000000000007,-1.017051044944035e-21,7.92066961658701e-21,-0.029878315668890286,-4.46951749029041e-20,1.1682477838456617e-19,-0.000999951931000831,1.0,1.0866773909912442e-19,1.2953230038632424e-19,1.1102230246251565e-16,-5.7362017272407025e-18,1.0831217333460029e-17,-2.810284391265319e-19,0.0,0.0,-0.03501935642900001,0.0,0.0,-0.0011555379000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,-1,False,not_started
0.1,0.1,0.00038377819839179804,-0.027637980065170903,-0.03623076096433703,-0.006499301064521894,-0.004725834743830152,0.2843821985768194,0.9999998582317178,0.00043682184491371375,-0.0002120256228657926,0.00021855973019127486,0.018163737665806253,-0.002242644675109767,0.005751166972094139,0.02588852252810789,0.025888567502080514,0.02550963653199324,0.34537230788342027,0.34537436194281756,0.3168541025329135,0.0007518888095924765,0.10002775812928046,0.10002776521890282,0.10002783718323267,0.0014999999999999996,0.0014999999999999996,0.0014999999999999996,-1.6505421952715642e-21,1.0836922844274702e-20,-0.029888315188200294,-6.336894921182747e-20,2.916707285322458e-19,-0.000999951931000831,1.0,1.5406145797771819e-19,1.5349498559909643e-19,1.1102230246251565e-16,2.0638265244972375e-17,-1.200356936364646e-17,-2.9782456075910215e-19,0.0,0.0,-0.03515252172800001,0.0,0.0,-0.004529246400000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,-1,False,not_started
